scenario,node,m_kl,argmax_t,git_sha,seed,m,p_pos,p_neg
scenario1,UnstablePS,0.02734184845515955,24,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario1,CorrReact,0.035279843070905995,24,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario1,MITM,0.007506508568163331,7,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,UnstablePS,1.6124827554384655e-16,22,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,CorrReact,2.0759459692807496e-11,32,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,MITM,5.648749858200351e-10,33,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario1,__FF_perf__,0.19911464940874024,203918929,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario1,__EX_perf__,0.23771012257718496,203943968,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,__FF_perf__,0.015783063998554545,7612664,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,__EX_perf__,0.03576446179490971,10182733,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
