scenario,node,m_kl,argmax_t,git_sha,seed,m,p_pos,p_neg
scenario1,UnstablePS,0.06842671125707084,30,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario1,CorrReact,0.10057777140118779,32,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario1,MITM,0.007506508568161721,7,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,UnstablePS,0.002841446020694763,31,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,CorrReact,2.871367114667106e-07,15,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,MITM,6.131642167577888e-10,10,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario1,__FF_perf__,0.16789084831019863,202380325,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario1,__EX_perf__,0.26361419374974504,203562269,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,__FF_perf__,0.015205780020187376,6960704,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
scenario2,__EX_perf__,0.09871724085976893,136915187,1abbf37f6dbde522e8b2bfeb285a24fbb1b46ff3,42,1.0,0.0001,0.0001
