arm,n_bins,strategy,ece,brier,brier_skill_score,base_rate,n,n_runs,git_sha,source_file,ablation_axis
soft_calibrated,20,quantile,0.0046421081381036,0.0019610271208406,0.9812474016079016,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
soft_calibrated_naive_lik,5,uniform,0.0046075686726646,0.0019517440674889,0.9813361721146974,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
soft_calibrated_naive_lik,5,quantile,0.0046075686726646,0.0019517440674889,0.9813361721146974,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
soft_calibrated_naive_lik,10,uniform,0.0046075686726646,0.0019517440674889,0.9813361721146974,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
soft_calibrated_naive_lik,10,quantile,0.0046075861037714,0.0019517440674889,0.9813361721146974,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
soft_calibrated_naive_lik,15,uniform,0.0046075686726645,0.0019517440674889,0.9813361721146974,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
soft_calibrated_naive_lik,15,quantile,0.0046075726455511,0.0019517440674889,0.9813361721146974,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
soft_calibrated_naive_lik,20,uniform,0.0046075686726645,0.0019517440674889,0.9813361721146974,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
soft_calibrated_naive_lik,20,quantile,0.0046075861037714,0.0019517440674889,0.9813361721146974,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
hard_thresholded_perception,5,uniform,0.0044236240241743,0.0019051173804314,0.9817820463850992,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
hard_thresholded_perception,5,quantile,0.0044236240241742,0.0019051173804314,0.9817820463850992,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
hard_thresholded_perception,10,uniform,0.0044236240241744,0.0019051173804314,0.9817820463850992,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
hard_thresholded_perception,10,quantile,0.004423624888748,0.0019051173804314,0.9817820463850992,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
hard_thresholded_perception,15,uniform,0.0044236240241746,0.0019051173804314,0.9817820463850992,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
hard_thresholded_perception,15,quantile,0.004423624045349,0.0019051173804314,0.9817820463850992,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
hard_thresholded_perception,20,uniform,0.0044236240241746,0.0019051173804314,0.9817820463850992,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
hard_thresholded_perception,20,quantile,0.004423624888748,0.0019051173804314,0.9817820463850992,0.88134810710988,21660,30,d26ea3288d880432e8dd9c7ac086bcc667e988e2-dirty,exp05_dbn_calibration_20260802T185037Z.csv,evidence_calibration
