system,knowledge_level,threshold,n_runs,n_detected_before,n_detected_after,n_missed,n_false_alarm,n_no_event,detection_rate,false_alarm_rate,n_lead_defined,lead_median_slices,lead_p10_slices,lead_p90_slices,lead_mean_slices,git_sha,source_file,ablation_axis
dbn_hard_evidence,blind,0.51,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.53,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.55,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.57,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.59,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.61,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.63,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.65,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.67,30,18,12,0,0,0,1.0,,30,1.0,0.0,22.0,7.9,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.69,30,17,13,0,0,0,1.0,,30,1.0,0.0,22.0,7.766666666666667,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.71,30,3,27,0,0,0,1.0,,30,0.0,-20.0,0.0,-3.3333333333333335,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.73,30,3,27,0,0,0,1.0,,30,0.0,-20.0,0.0,-3.3333333333333335,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.75,30,3,27,0,0,0,1.0,,30,0.0,-20.0,0.0,-3.3333333333333335,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.77,30,3,27,0,0,0,1.0,,30,0.0,-20.0,0.0,-3.3333333333333335,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.79,30,3,27,0,0,0,1.0,,30,0.0,-20.0,0.0,-3.533333333333333,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.81,30,3,27,0,0,0,1.0,,30,0.0,-29.0,0.0,-7.266666666666667,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.83,30,3,27,0,0,0,1.0,,30,0.0,-29.0,0.0,-7.266666666666667,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.85,30,3,27,0,0,0,1.0,,30,0.0,-29.0,0.0,-7.266666666666667,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.87,30,3,27,0,0,0,1.0,,30,0.0,-29.0,0.0,-7.266666666666667,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.89,30,3,27,0,0,0,1.0,,30,0.0,-29.0,0.0,-7.266666666666667,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.91,30,3,27,0,0,0,1.0,,30,0.0,-29.0,0.0,-7.266666666666667,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.93,30,3,27,0,0,0,1.0,,30,0.0,-29.0,0.0,-7.266666666666667,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.95,30,0,30,0,0,0,1.0,,30,-11.0,-130.0,0.0,-45.333333333333336,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.97,30,0,30,0,0,0,1.0,,30,-11.0,-130.0,0.0,-45.333333333333336,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,blind,0.99,30,0,30,0,0,0,1.0,,30,-11.0,-130.0,0.0,-45.6,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.05,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.07,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.09,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.11,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.13,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.15,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.17,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.19,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.21,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.23,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.25,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.27,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.29,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.31,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.33,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.35,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.37,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.39,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.41,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.43,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.45,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.47,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.49,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.51,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.53,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.55,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.57,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.59,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.61,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.63,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.65,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
dbn_hard_evidence,analytics,0.67,30,0,25,0,5,0,1.0,1.0,25,0.0,0.0,0.0,0.0,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_robustness_curve_20260810T091537Z.csv,adversarial_robustness
