arm,n_bins,strategy,ece,mce,brier,brier_skill_score,base_rate,n,n_runs,git_sha,source_file,ablation_axis
physical_only,20,uniform,0.1343028624192059,0.5321017011157856,0.1343028624192059,-0.2895042940130712,0.8819021237303786,21660,30,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,exp04_calibration_20260802T042212Z.csv,open_vs_closed
physical_only,20,quantile,0.1343028624192058,0.1343028624192058,0.1343028624192059,-0.2895042940130712,0.8819021237303786,21660,30,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,exp04_calibration_20260802T042212Z.csv,open_vs_closed
closed_loop_sensitivity_1e4,5,uniform,0.0292781443833292,0.5025399578767366,0.0276982698440541,0.7340560189316343,0.8819021237303786,21660,30,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,exp04_calibration_20260802T042212Z.csv,open_vs_closed
closed_loop_sensitivity_1e4,5,quantile,0.0280629956119289,0.0280629956119289,0.0276982698440541,0.7340560189316343,0.8819021237303786,21660,30,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,exp04_calibration_20260802T042212Z.csv,open_vs_closed
closed_loop_sensitivity_1e4,10,uniform,0.0325599011754013,0.6520940519536698,0.0276982698440541,0.7340560189316343,0.8819021237303786,21660,30,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,exp04_calibration_20260802T042212Z.csv,open_vs_closed
closed_loop_sensitivity_1e4,10,quantile,0.0280629956119289,0.0691510021836497,0.0276982698440541,0.7340560189316343,0.8819021237303786,21660,30,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,exp04_calibration_20260802T042212Z.csv,open_vs_closed
closed_loop_sensitivity_1e4,15,uniform,0.0331946488957368,0.6888483903932701,0.0276982698440541,0.7340560189316343,0.8819021237303786,21660,30,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,exp04_calibration_20260802T042212Z.csv,open_vs_closed
closed_loop_sensitivity_1e4,15,quantile,0.0302745189014742,0.2036430468535174,0.0276982698440541,0.7340560189316343,0.8819021237303786,21660,30,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,exp04_calibration_20260802T042212Z.csv,open_vs_closed
closed_loop_sensitivity_1e4,20,uniform,0.0332309183659447,0.8901348631683311,0.0276982698440541,0.7340560189316343,0.8819021237303786,21660,30,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,exp04_calibration_20260802T042212Z.csv,open_vs_closed
closed_loop_sensitivity_1e4,20,quantile,0.0282377610164642,0.1383020042232303,0.0276982698440541,0.7340560189316343,0.8819021237303786,21660,30,c63af7e371d1a64c8004b9cb634b45eacdf37223-dirty,exp04_calibration_20260802T042212Z.csv,open_vs_closed
