knowledge_level,batch,mean_reward,n_episodes,git_sha,source_file,ablation_axis
analytics,4,-0.148950203125,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,5,-0.076501375,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,6,-0.1604248125,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,7,-0.139550828125,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,8,-0.12792971875,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,9,0.0643066249999999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,10,-0.037463421875,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,11,-0.0931885,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,12,-0.12086184375,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,13,-0.064123546875,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,14,0.06839596875,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,15,-0.0113648124999999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,16,-0.080712921875,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,17,-0.03537596875,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,18,0.078784125,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,19,-0.006616234375,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,20,0.1112914374999999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,21,0.1929809375,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,22,0.03372796875,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,23,0.130139109375,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,24,0.0846801874999999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,25,0.1007689843749999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,26,0.0760009531249999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,27,-0.042602609375,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,28,0.017895375,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,29,0.0759399374999999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,30,0.051452609375,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
analytics,31,0.038305640625,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,0,-0.03526890625,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,1,-0.04162503125,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,2,-0.059681125,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,3,0.038376015625,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,4,0.0465717343749999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,5,0.0014749374999999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,6,-0.01948653125,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,7,-0.00101675,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,8,0.0577967499999999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,9,-0.00567871875,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,10,0.0825890624999999,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,11,0.019890359375,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
full_dbn,12,0.015172875,64,0ba387c649f0f42a31bd4b0967b021ccf4c2220f,exp09_reward_curve_20260810T091537Z.csv,adversarial_robustness
