arm,threshold,n_runs,n_detected_before,n_detected_after,n_missed,n_false_alarm,n_no_event,detection_rate,false_alarm_rate,n_lead_defined,lead_median_slices,lead_p10_slices,lead_p90_slices,lead_mean_slices,git_sha,source_file,ablation_axis
hard,0.05,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.07,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.09,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.11,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.13,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.15,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.17,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.19,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.21,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.23,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.25,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.27,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.29,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.31,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.33,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.35,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.37,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.39,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.41,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.43,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.45,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.47,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.49,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.51,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.53,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
hard,0.55,30,0,30,0,0,0,1.0,,30,0.0,-4.0,0.0,-0.9333333333333332,26df4e8995c1c630633feceb754368becd635ef4-dirty,exp11_dbn_lead_time_20260806T100252Z.csv,gnn_vs_mlp
